num_moves,num_scalings,cost
0,0,4.0
3,4,6.0
3,4,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
0,0,8.0
