Time,Model Name,File Name,Propagation Delay (s),Processing Delay (ms),E2E Delay (s),location,core
1713483334.08717,yolov5n,6.jpg,0.219375133514404,374.837636947632,0.645318746566772,europe-west9,500
1713483334.83632,yolov5n,6.jpg,0.298980712890625,429.978370666504,0.74821925163269,europe-west9,500
1713483544.57327,yolov5n,6.jpg,0.321445941925049,382.700204849243,0.72632622718811,europe-west9,1000
1713483552.1782,yolov5n,6.jpg,0.308060169219971,404.881954193115,0.761649131774902,europe-west9,1000
1713483582.04143,yolov5n,6.jpg,0.235822916030884,321.099042892456,0.577644824981689,europe-west9,1000
1713483582.58693,yolov5n,6.jpg,0.211410522460937,284.836053848267,0.544596672058106,europe-west9,1000
1713483742.81194,yolov5n,6.jpg,0.18198037147522,461.995363235474,0.665761709213257,europe-west9,500
1713483743.66952,yolov5n,6.jpg,0.392098903656006,417.547225952148,0.856845617294312,europe-west9,500
1713483866.61411,yolov5n,6.jpg,0.150281429290771,182.013034820557,0.353819608688354,europe-west9,1000
1713483867.05514,yolov5n,6.jpg,0.172386407852173,222.14412689209,0.440351247787476,europe-west9,1000
1713483867.65755,yolov5n,6.jpg,0.210506439208984,336.429119110107,0.577723741531372,europe-west9,1000
1713483868.18369,yolov5n,6.jpg,0.137906074523926,344.574213027954,0.524089574813843,europe-west9,1000
1713483868.55392,yolov5n,6.jpg,0.180513381958008,143.698215484619,0.345875978469849,europe-west9,1000
1713483868.88939,yolov5n,6.jpg,0.197323560714722,98.8292694091797,0.334891080856323,europe-west9,1000
1713483869.61589,yolov5n,6.jpg,0.320810556411743,333.961725234985,0.703866243362427,europe-west9,1000
1713483870.10048,yolov5n,6.jpg,0.139220476150513,325.527667999268,0.48399019241333,europe-west9,1000
1713484046.92904,yolov5n,6.jpg,0.70382285118103,453.441381454468,1.18051290512085,europe-west9,500
1713484048.11793,yolov5n,6.jpg,0.582535266876221,560.755491256714,1.18819212913513,europe-west9,500
1713484172.82568,yolov5n,6.jpg,0.481446981430054,226.25732421875,0.731383323669434,europe-west9,1000
1713484173.68182,yolov5n,6.jpg,0.548159599304199,263.905048370361,0.855502128601074,europe-west9,1000
1713484174.9003,yolov5n,6.jpg,0.800635099411011,372.334241867065,1.19491577148438,europe-west9,1000
1713484175.78422,yolov5n,6.jpg,0.502319574356079,342.029333114624,0.883292436599731,europe-west9,1000
1713484176.49767,yolov5n,6.jpg,0.481904983520508,182.060241699219,0.686738729476929,europe-west9,1000
1713484177.20788,yolov5n,6.jpg,0.536236524581909,130.92827796936,0.709612131118774,europe-west9,1000
1713484178.39658,yolov5n,6.jpg,0.74681568145752,362.764835357666,1.15626430511475,europe-west9,1000
1713484179.41449,yolov5n,6.jpg,0.675459146499634,319.343090057373,1.01728916168213,europe-west9,1000
1713484180.11165,yolov5n,6.jpg,0.46373176574707,163.606882095337,0.67446780204773,europe-west9,1000
1713484180.82996,yolov5n,6.jpg,0.505003690719605,191.100358963013,0.717703342437744,europe-west9,1000
1713484182.02081,yolov5n,6.jpg,0.766535997390747,356.737375259399,1.16861128807068,europe-west9,1000
1713484182.94035,yolov5n,6.jpg,0.542172193527222,347.433567047119,0.918949365615845,europe-west9,1000
1713484183.86373,yolov5n,6.jpg,0.686194658279419,168.04575920105,0.90036678314209,europe-west9,1000
1713484184.69208,yolov5n,6.jpg,0.652684926986694,152.257680892944,0.82776141166687,europe-west9,1000
1713484185.78531,yolov5n,6.jpg,0.665836572647095,360.746622085571,1.07018399238586,europe-west9,1000
1713484186.676,yolov5n,6.jpg,0.529732465744019,338.783979415894,0.890078067779541,europe-west9,1000
1713484187.50244,yolov5n,6.jpg,0.56882119178772,194.916248321533,0.805572509765625,europe-west9,1000
1713484188.33875,yolov5n,6.jpg,0.584801912307739,202.080488204956,0.835748434066772,europe-west9,1000
1713484189.28499,yolov5n,6.jpg,0.569748163223267,335.234642028809,0.922314643859863,europe-west9,1000
1713484190.3516,yolov5n,6.jpg,0.666816234588623,358.852386474609,1.06604695320129,europe-west9,1000
1713484191.2031,yolov5n,6.jpg,0.654374122619629,151.347398757935,0.828286647796631,europe-west9,1000
1713484191.97218,yolov5n,6.jpg,0.585263729095459,131.916284561157,0.768488883972168,europe-west9,1000
1713484192.69825,yolov5n,6.jpg,0.508132219314575,178.335905075073,0.703776121139526,europe-west9,1000
