Time,Model Name,File Name,Propagation Delay (s),Processing Delay (ms),E2E Delay (s),location,core
1712166433.36267,yolov5n,6.jpg,0.503815650939941,989.952564239502,1.49376678466797,france,half
1712166434.31835,yolov5n,6.jpg,0.236822128295898,717.833757400513,0.954653978347778,france,half
1712166436.00118,yolov5n,6.jpg,1.32164168357849,360.364198684692,1.68200397491455,france,half
1712166436.9468,yolov5n,6.jpg,0.281326293945312,663.55562210083,0.94488000869751,france,half
1712166437.73444,yolov5n,6.jpg,0.354404211044312,432.45005607605,0.786852598190308,france,half
1712166438.66291,yolov5n,6.jpg,0.262099504470825,665.585517883301,0.927683353424072,france,half
1712166439.32578,yolov5n,6.jpg,0.262065649032593,399.950265884399,0.662013053894043,france,half
1712166440.05767,yolov5n,6.jpg,0.375402688980103,355.27777671814,0.730677366256714,france,half
1712166441.0665,yolov5n,6.jpg,0.202571868896484,805.08303642273,1.00765347480774,france,half
1712166441.83644,yolov5n,6.jpg,0.364086866378784,405.234098434448,0.769318580627441,france,half
1712166442.83779,yolov5n,6.jpg,0.243761777877808,755.75065612793,0.999510526657105,france,half
1712166443.68866,yolov5n,6.jpg,0.420214176177979,429.553270339966,0.849762916564941,france,half
1712166444.55704,yolov5n,6.jpg,0.260960578918457,605.747938156128,0.866705417633057,france,half
1712166445.18674,yolov5n,6.jpg,0.223026275634766,405.571222305298,0.628596305847168,france,half
1712166446.15776,yolov5n,6.jpg,0.195154190063477,774.77765083313,0.969928026199341,france,half
1712166446.88727,yolov5n,6.jpg,0.329391479492187,398.562669754028,0.727949857711792,france,half
1712166447.884,yolov5n,6.jpg,0.2252197265625,769.835710525513,0.995053768157959,france,half
1712166448.86293,yolov5n,6.jpg,0.267907857894897,710.338354110718,0.978244304656982,france,half
1712166449.53839,yolov5n,6.jpg,0.266282796859741,408.402681350708,0.674680948257446,france,half
1712166450.45298,yolov5n,6.jpg,0.264779806137085,647.711753845215,0.912490129470825,france,half
1712166451.16308,yolov5n,6.jpg,0.200769424438477,508.270025253296,0.709037780761719,france,half
1712166452.27269,yolov5n,6.jpg,0.282682657241821,826.1399269104,1.10881567001343,france,half
1712166453.07755,yolov5n,6.jpg,0.403069496154785,400.151968002319,0.803219556808472,france,half
1712166454.1096,yolov5n,6.jpg,0.308531999588013,722.731590270996,1.03126120567322,france,half
1712166454.74754,yolov5n,6.jpg,0.187791585922241,449.177980422974,0.636967897415161,france,half
1712166455.83015,yolov5n,6.jpg,0.22571849822998,856.104850769043,1.08182191848755,france,half
1712166456.56576,yolov5n,6.jpg,0.285154819488525,449.727773666382,0.734880685806274,france,half
1712166457.40066,yolov5n,6.jpg,0.233141183853149,601.04250907898,0.834182024002075,france,half
1712166458.27615,yolov5n,6.jpg,0.221096038818359,653.493642807007,0.874587774276733,france,half
1712166459.17865,yolov5n,6.jpg,0.224597930908203,677.079200744629,0.901675462722778,france,half
1712166460.17642,yolov5n,6.jpg,0.595160961151123,401.842832565308,0.997001886367798,france,half
1712166461.12404,yolov5n,6.jpg,0.458442449569702,488.063097000122,0.94650411605835,france,half
1712166462.1642,yolov5n,6.jpg,0.209787607192993,828.898906707764,1.03868436813355,france,half
1712166462.85099,yolov5n,6.jpg,0.282068729400635,403.952121734619,0.686019420623779,france,half
