Time,Model Name,File Name,Propagation Delay (s),Processing Delay (ms),E2E Delay (s),location,core
1712164252.06383,yolov5n,6.jpg,0.21135139465332,572.566270828247,0.783915996551514,belgium,half
1712164252.61118,yolov5n,6.jpg,0.276358842849731,270.206451416016,0.546563386917114,belgium,half
1712164253.44222,yolov5n,6.jpg,0.210362911224365,619.319677352905,0.829679012298584,belgium,half
1712164254.01064,yolov5n,6.jpg,0.270525217056274,296.690940856934,0.567214250564575,belgium,half
1712164254.89431,yolov5n,6.jpg,0.248188734054565,634.612798690796,0.882798910140991,belgium,half
1712164255.42192,yolov5n,6.jpg,0.199890375137329,326.235771179199,0.526124477386475,belgium,half
1712164256.25352,yolov5n,6.jpg,0.205806732177734,625.095129013062,0.830899953842163,belgium,half
1712164257.09711,yolov5n,6.jpg,0.242861986160278,599.783897399902,0.842644453048706,belgium,half
1712164257.65901,yolov5n,6.jpg,0.220195531845093,340.844392776489,0.561038732528687,belgium,half
1712164258.58899,yolov5n,6.jpg,0.328241586685181,600.855112075806,0.929095268249512,belgium,half
1712164259.10816,yolov5n,6.jpg,0.190544843673706,327.491283416748,0.5180344581604,belgium,half
1712164259.98466,yolov5n,6.jpg,0.164215326309204,711.054563522339,0.875268220901489,belgium,half
1712164260.7324,yolov5n,6.jpg,0.416029453277588,330.987930297852,0.747015237808228,belgium,half
1712164261.60192,yolov5n,6.jpg,0.249145269393921,619.518280029297,0.868661880493164,belgium,half
1712164262.11468,yolov5n,6.jpg,0.18785285949707,324.181079864502,0.512032270431519,belgium,half
1712164262.99047,yolov5n,6.jpg,0.243459701538086,631.086111068726,0.874544143676758,belgium,half
1712164263.47459,yolov5n,6.jpg,0.157246112823486,325.870990753174,0.483115434646606,belgium,half
1712164264.03029,yolov5n,6.jpg,0.295809030532837,258.436441421509,0.554244041442871,belgium,half
1712164264.86006,yolov5n,6.jpg,0.222579002380371,606.473922729492,0.829051017761231,belgium,half
1712164265.68841,yolov5n,6.jpg,0.252539396286011,574.618101119995,0.827156066894531,belgium,half
