Time,Model Name,File Name,Propagation Delay (s),Processing Delay (ms),E2E Delay (s),location,core
1712162492.18636,yolov5n,6.jpg,0.331035614013672,503.185033798218,0.834219217300415,germany,half
1712162493.39932,yolov5n,6.jpg,0.424759864807129,787.290573120117,1.21204829216003,germany,half
1712162494.53659,yolov5n,6.jpg,0.48792576789856,648.318767547607,1.13624286651611,germany,half
1712162496.54136,yolov5n,6.jpg,0.485007047653198,1519.06323432922,2.0040647983551,germany,half
1712162497.36624,yolov5n,6.jpg,0.460530042648315,362.350702285767,0.822879314422607,germany,half
1712162498.52321,yolov5n,6.jpg,0.3111252784729,845.04508972168,1.15616869926453,germany,half
1712162499.21445,yolov5n,6.jpg,0.277028799057007,413.122653961182,0.690149307250977,germany,half
1712162502.46437,yolov5n,6.jpg,2.60590434074402,642.982721328735,3.24888491630554,germany,half
1712162506.54027,yolov5n,6.jpg,3.78350496292114,291.691541671753,4.07519388198853,germany,half
1712162508.60567,yolov5n,6.jpg,1.36642789840698,697.660446166992,2.06408667564392,germany,half
1712162510.43161,yolov5n,6.jpg,1.39139080047607,433.886051177979,1.825275182724,germany,half
1712162512.13878,yolov5n,6.jpg,1.37768650054932,328.500509262085,1.70618486404419,germany,half
1712162513.0516,yolov5n,6.jpg,0.276758432388306,635.222673416138,0.91197943687439,germany,half
1712162513.98155,yolov5n,6.jpg,0.624122619628906,305.19437789917,0.929314851760864,germany,half
1712162514.93893,yolov5n,6.jpg,0.327934265136719,628.646373748779,0.956578969955444,germany,half
1712162515.58937,yolov5n,6.jpg,0.331646680831909,318.053245544434,0.649698257446289,germany,half
1712162516.53199,yolov5n,6.jpg,0.293251276016235,647.105932235718,0.940354108810425,germany,half
1712162517.25138,yolov5n,6.jpg,0.3136305809021,403.88560295105,0.717514276504517,germany,half
1712162518.15163,yolov5n,6.jpg,0.275265693664551,624.044895172119,0.899308681488037,germany,half
1712162519.10142,yolov5n,6.jpg,0.259065628051758,690.079212188721,0.949143171310425,germany,half
1712162519.73619,yolov5n,6.jpg,0.295483589172363,338.283061981201,0.63376522064209,germany,half
1712162520.88688,yolov5n,6.jpg,0.505655527114868,644.209623336792,1.14986371994019,germany,half
1712162521.54849,yolov5n,6.jpg,0.387876510620117,273.014068603516,0.660888433456421,germany,half
1712162522.47017,yolov5n,6.jpg,0.289533853530884,631.245374679565,0.920777797698975,germany,half
1712162523.06908,yolov5n,6.jpg,0.225832939147949,372.431755065918,0.598262310028076,germany,half
1712162524.58594,yolov5n,6.jpg,0.844162702560425,671.936511993408,1.51609778404236,germany,half
1712162525.16738,yolov5n,6.jpg,0.307656288146973,273.070096969604,0.580724954605103,germany,half
1712162526.03573,yolov5n,6.jpg,0.264230012893677,603.243827819824,0.867470979690552,germany,half
1712162527.39,yolov5n,6.jpg,1.03461647033691,318.51601600647,1.3531289100647,germany,half
1712162528.11082,yolov5n,6.jpg,0.453859806060791,266.101598739624,0.719959259033203,germany,half
1712162529.153,yolov5n,6.jpg,0.280376672744751,760.402679443359,1.04077768325806,germany,half
1712162530.0764,yolov5n,6.jpg,0.301229238510132,621.409416198731,0.922630786895752,germany,half
1712162530.66598,yolov5n,6.jpg,0.312918424606323,275.384902954102,0.588301658630371,germany,half
1712162531.293,yolov5n,6.jpg,0.251477718353271,374.664306640625,0.626137256622314,germany,half
1712162532.18528,yolov5n,6.jpg,0.228626489639282,662.349224090576,0.890973806381226,germany,half
1712162532.77094,yolov5n,6.jpg,0.31388258934021,271.048307418823,0.584928750991821,germany,half
1712162533.66015,yolov5n,6.jpg,0.218778848648071,669.552564620972,0.888325929641724,germany,half
1712162534.28406,yolov5n,6.jpg,0.327661752700806,294.965744018555,0.622626066207886,germany,half
1712162535.13354,yolov5n,6.jpg,0.258312702178955,590.432167053223,0.848742723464966,germany,half
1712162535.7803,yolov5n,6.jpg,0.321121215820312,324.871778488159,0.645991325378418,germany,half
1712162537.29166,yolov5n,6.jpg,0.916491508483887,593.937873840332,1.51042699813843,germany,half
1712162538.50865,yolov5n,6.jpg,0.95159387588501,264.189958572388,1.2157769203186,germany,half
1712162540.08215,yolov5n,6.jpg,0.925113201141357,647.035360336304,1.57214689254761,germany,half
1712162541.21511,yolov5n,6.jpg,0.542325258255005,589.834690093994,1.13215780258179,germany,half
1712162542.57988,yolov5n,6.jpg,1.02577471733093,337.884902954102,1.36365795135498,germany,half
1712162544.71645,yolov5n,6.jpg,1.4462149143219,689.470291137695,2.13568353652954,germany,half
1712162545.33108,yolov5n,6.jpg,0.282880067825317,330.70707321167,0.613585472106934,germany,half
1712162546.28989,yolov5n,6.jpg,0.312006950378418,645.967960357666,0.957973480224609,germany,half
1712162546.87879,yolov5n,6.jpg,0.322850704193115,265.177726745605,0.58802604675293,germany,half
1712162547.79491,yolov5n,6.jpg,0.329157829284668,585.790872573853,0.91494631767273,germany,half
1712162548.37731,yolov5n,6.jpg,0.326066970825195,255.296945571899,0.581362724304199,germany,half
1712162549.33543,yolov5n,6.jpg,0.360496044158936,596.835374832153,0.957329511642456,germany,half
1712162550.00974,yolov5n,6.jpg,0.347451210021973,326.083421707153,0.673529863357544,germany,half
1712162550.65355,yolov5n,6.jpg,0.305111885070801,337.624073028564,0.642733097076416,germany,half
1712162551.61256,yolov5n,6.jpg,0.269269466400146,688.986778259277,0.958254337310791,germany,half
1712162552.52062,yolov5n,6.jpg,0.258911609649658,648.061990737915,0.906971216201782,germany,half
1712162553.15039,yolov5n,6.jpg,0.289500713348389,339.40052986145,0.628899574279785,germany,half
1712162553.91899,yolov5n,6.jpg,0.369154691696167,398.630142211914,0.767782926559448,germany,half
1712162554.84746,yolov5n,6.jpg,0.271518230438232,655.737400054932,0.927253484725952,germany,half
1712162555.48227,yolov5n,6.jpg,0.327142238616943,306.655406951904,0.633795022964478,germany,half
1712162556.41657,yolov5n,6.jpg,0.262635231018066,670.642614364624,0.933276414871216,germany,half
1712162557.06812,yolov5n,6.jpg,0.315090417861938,335.461616516113,0.650547742843628,germany,half
1712162557.97151,yolov5n,6.jpg,0.294102668762207,606.849431991577,0.900946617126465,germany,half
1712162558.8038,yolov5n,6.jpg,0.456306457519531,373.792886734009,0.830097675323486,germany,half
1712162559.64422,yolov5n,6.jpg,0.269133329391479,570.420026779175,0.839550018310547,germany,half
1712162560.31793,yolov5n,6.jpg,0.37588620185852,296.634435653687,0.6725172996521,germany,half
1712162561.22878,yolov5n,6.jpg,0.268658876419067,641.004800796509,0.909661054611206,germany,half
1712162562.16655,yolov5n,6.jpg,0.229268550872803,707.429885864258,0.936695575714111,germany,half
1712162562.76842,yolov5n,6.jpg,0.306058406829834,294.479370117187,0.600535392761231,germany,half
1712162563.63693,yolov5n,6.jpg,0.195136308670044,672.261476516724,0.867396116256714,germany,half
1712162564.25306,yolov5n,6.jpg,0.291213989257812,324.0807056427,0.615293264389038,germany,half
1712162565.17803,yolov5n,6.jpg,0.293232440948486,631.044626235962,0.924272060394287,germany,half
1712162567.72032,yolov5n,6.jpg,2.26100921630859,280.436038970947,2.54144406318665,germany,half
1712162569.34223,yolov5n,6.jpg,0.976850986480713,644.165515899658,1.62101101875305,germany,half
1712162569.97561,yolov5n,6.jpg,0.311245918273926,320.953845977783,0.632196426391602,germany,half
1712162570.9603,yolov5n,6.jpg,0.304267168045044,679.468631744385,0.98373293876648,germany,half
1712162571.55802,yolov5n,6.jpg,0.30281925201416,293.630838394165,0.596448421478272,germany,half
1712162572.31332,yolov5n,6.jpg,0.452269315719605,302.108287811279,0.75437593460083,germany,half
1712162573.20441,yolov5n,6.jpg,0.253616571426392,636.683225631714,0.890297889709473,germany,half
1712162574.10861,yolov5n,6.jpg,0.270087003707886,632.291793823242,0.902376890182495,germany,half
1712162574.71827,yolov5n,6.jpg,0.27679705619812,331.374645233154,0.608169794082642,germany,half
1712162575.62954,yolov5n,6.jpg,0.581641435623169,328.530550003052,0.910168647766113,germany,half
1712162576.83168,yolov5n,6.jpg,0.560596704483032,640.279769897461,1.20087432861328,germany,half
1712162577.47638,yolov5n,6.jpg,0.244299173355103,399.61576461792,0.643912792205811,germany,half
1712162578.4191,yolov5n,6.jpg,0.26574969291687,675.261735916138,0.941009998321533,germany,half
1712162579.08673,yolov5n,6.jpg,0.331918239593506,335.017442703247,0.666932106018066,germany,half
1712162579.95925,yolov5n,6.jpg,0.285370588302612,586.218118667603,0.871586561203003,germany,half
1712162580.62551,yolov5n,6.jpg,0.367445945739746,297.896385192871,0.665339946746826,germany,half
1712162581.58754,yolov5n,6.jpg,0.241010189056396,720.098972320557,0.961107492446899,germany,half
1712162582.48048,yolov5n,6.jpg,0.622545957565308,269.476652145386,0.892020702362061,germany,half
1712162583.38037,yolov5n,6.jpg,0.301107168197632,597.955703735352,0.899056196212769,germany,half
1712162584.61628,yolov5n,6.jpg,0.634871482849121,599.106788635254,1.23397588729858,germany,half
1712162585.29759,yolov5n,6.jpg,0.340173721313477,340.243101119995,0.680413722991943,germany,half
1712162586.61213,yolov5n,6.jpg,0.737721681594849,575.950860977173,1.31367039680481,germany,half
