Time,Model Name,File Name,Propagation Delay (s),Processing Delay (ms),E2E Delay (s),location,core
1712162008.08682,yolov5n,6.jpg,0.245296478271484,167.522668838501,0.412817001342773,germany,two
1712162008.60949,yolov5n,6.jpg,0.245648145675659,275.578260421753,0.521224975585938,germany,two
1712162008.94909,yolov5n,6.jpg,0.227516174316406,111.28568649292,0.338800191879272,germany,two
1712162009.52309,yolov5n,6.jpg,0.322554349899292,250.505208969116,0.573056936264038,germany,two
1712162009.87607,yolov5n,6.jpg,0.239292144775391,111.794948577881,0.351085424423218,germany,two
1712162010.42796,yolov5n,6.jpg,0.267617464065552,283.480644226074,0.551096200942993,germany,two
1712162010.78559,yolov5n,6.jpg,0.24900221824646,107.714176177979,0.356714487075806,germany,two
1712162011.35605,yolov5n,6.jpg,0.286679029464722,282.715320587158,0.56938624382019,germany,two
1712162011.79067,yolov5n,6.jpg,0.329600811004639,103.690385818481,0.433289289474487,germany,two
1712162012.29532,yolov5n,6.jpg,0.256666421890259,247.060537338257,0.503725528717041,germany,two
1712162012.61319,yolov5n,6.jpg,0.207499980926514,109.619379043579,0.31711745262146,germany,two
1712162012.92617,yolov5n,6.jpg,0.200175046920776,112.060546875,0.312233924865723,germany,two
1712162013.41421,yolov5n,6.jpg,0.234800815582275,252.441644668579,0.487240314483643,germany,two
1712162013.87893,yolov5n,6.jpg,0.357724905014038,106.191158294678,0.463905572891235,germany,two
1712162014.36559,yolov5n,6.jpg,0.246770858764648,238.734483718872,0.485503196716309,germany,two
1712162014.72843,yolov5n,6.jpg,0.258734941482544,103.041172027588,0.361774206161499,germany,two
1712162015.16549,yolov5n,6.jpg,0.192939043045044,243.129014968872,0.436066627502441,germany,two
1712162015.4946,yolov5n,6.jpg,0.228250741958618,100.141048431396,0.32839035987854,germany,two
1712162015.98764,yolov5n,6.jpg,0.249919652938843,242.358922958374,0.492273569107056,germany,two
1712162016.46839,yolov5n,6.jpg,0.238814115524292,239.691257476807,0.478503942489624,germany,two
1712162016.80232,yolov5n,6.jpg,0.229961633682251,103.197336196899,0.333155632019043,germany,two
1712162017.37126,yolov5n,6.jpg,0.293195486068726,272.397518157959,0.565591335296631,germany,two
1712162017.72731,yolov5n,6.jpg,0.250818014144897,103.1174659729,0.353931665420532,germany,two
